Count	Course_code(2017_All_Term)	Enrol_precentage	Enrol_number	Lec/Web/Prj/Thesis	Course_name	
1	ECON1101  	0/0	0/0	3821/4060	Microeconomics 1 (U1C)	
2	ACCT1501  	0/0	0/0	2816/3230	Accounting & Financial Mgt 1A	
3	FINS1613  	0/0	0/0	2536/3012	Business Finance	
4	MATH1131  	0/0	0/0	2463/2688	Mathematics 1A	
5	MGMT1001  	0/0	0/0	2453/2920	Managing Organisations&People	
6	MATH1231  	0/0	0/0	2195/2610	Mathematics 1B (U1)	
7	ECON1102  	0/0	0/0	1936/2133	Macroeconomics 1 (U1C)	
8	ECON1203  	0/0	0/0	1916/2076	Business & Economic Statistics (U1C)	
9	ENGG1000  	0/0	0/0	1885/1948	Engineering Design	
10	FINS1612  	0/0	0/0	1812/1990	Capital Markets & Institution (U1C)	
11	ACCT1511  	0/0	0/0	1776/2100	Accounting & Financial Mgt 1B (U1C)	
12	FINS2624  	0/0	0/0	1670/1820	Portfolio Mgmt	
13	PHYS1121  	0/0	0/0	1634/1916	Physics 1A	
14	COMP1511  	0/0	0/0	1411/1560	Introduction to Programming	
15	FINS3616  	0/0	0/0	1267/1440	International Business Finance (U1C)	
16	TABL1710  	0/0	0/0	1215/1410	Business and the Law	
17	MATH1041  	0/0	0/0	1146/1416	Stats for Life & Soc Sciences	
18	ENGG1811  	0/0	0/0	1132/1440	Computing for Engineers	
19	MATH2019  	0/0	0/0	1112/1294	Engineering Mathematics 2E	
20	MGMT1101  	0/0	0/0	1002/1205	Global Business Environment	
21	FINS3630  	0/0	0/0	993/1140	Bank Financial Management (U1C)	
22	ELEC1111  	0/0	0/0	956/1411	Elec & Telecomm Eng (U1)	
23	CHEM1011  	0/0	0/0	949/1015	Chemistry A	
24	MATH1081  	0/0	0/0	944/987	Discrete Mathematics	
25	ACCT2522  	0/0	0/0	940/945	Management Accounting 1	
26	ACCT2542  	0/0	0/0	922/1040	Corporate Financial Reporting (U1C)	
27	GENC3004  	0/0	0/0	915/1000	Personal Finance (U1C)	
28	ECON5103  	0/0	0/0	906/960	Business Economics	
29	ACCT5930  	0/0	0/0	868/959	Financial Accounting	
30	ECON2101  	0/0	0/0	850/958	Microeconomics 2 (U1C)	
31	MGMT5050  	0/0	0/0	842/898	Teams, Ethics & Comp Adv	
32	FINS5514  	0/0	0/0	815/841	Capital Budgeting&Fin Decision	
33	ACCT5996  	0/0	0/0	786/836	Management Accounting and Busi	
34	ARTS1090  	0/0	0/0	779/860	Media, Culture & Everyday Life	
35	FINS2643  	0/0	0/0	779/895	Wealth Management (U1C)	
36	FINS5530  	0/0	0/0	726/803	Financial Institution Mgmt (U1C)	
37	FINS3625  	0/0	0/0	724/816	Applied Corporate Finance	
38	COMP1521  	0/0	0/0	715/793	Computer Systems Fundamentals	
39	ACCT5931  	0/0	0/0	707/747	Strategic Management Accountin (U1C)	
