Count	Course_code(2019_All_Term)	Enrol_precentage	Enrol_number Lec/Web/Prj/Thesis	Course_name	
94	FINS3650  	0%	0/44	430/475	International Banking	
95	ELEC2141  	0%	0/13	425/438	Digital Circuit Design	
96	COMP9321  	0%	0/44	418/645	Data Services Engineering - CR1/CR2	
97	MMAN2700  	0%	0/27	415/442	Thermodynamics	
98	ECON2102  	0%	0/64	411/475	Macroeconomics 2	
99	MMAN4400  	0%	0/10	409/420	Engineering Management	
100	CVEN2303  	0%	0/152	408/560	Structural Analysis+ Modelling	
101	LAWS1160  	0%	0/31	407/10341	Administrative Law	
102	CVEN4402  	0%	0/14	403/417	Transport Systems Part 1	
103	PHSL2201  	0%	0/5	403/408	Physiology 1B	
104	CVEN3031  	0%	0/29	393/497	Engineering Practice	
105	MMAN4410  	0%	0/31	387/427	Finite Element Methods (U1B)	
106	MMAN3000  	0%	0/46	384/430	Prof Eng and Comm	
107	MICR2011  	0%	0/71	377/448	Microbiology 1	
108	COMP4920  	0%	0/2	373/376	Management and Ethics	
109	ECON1401  	0%	0/87	373/460	Economic Perspectives	
110	ELEC2134  	0%	0/107	373/480	Circuits and Signals	
111	ENGG4999  	0%	0/391	366/900	Industrial Training	
112	PSYC1111  	0%	0/26	365/369	Measuring Mind and Behaviour	
113	CRIM1011  	0%	0/35	363/398	Intro to Criminal Justice	
114	CVEN3203  	0%	0/109	363/582	Applied Geotechnics	
115	COMP9318  	0%	0/34	361/499	Data Warehousing & Data Mining - CR1/CR2	
116	FINS3623  	0%	0/240	361/630	Venture Capital	
117	REGZ9000  	0%	0/242	356/598	Uni Orientation& Study Skills1	
118	MDIA3005  	0%	0/26	349/9999	Social Innovation & Engagement	
119	ATSI1011  	0%	0/66	340/410	Indigenous Australia (U1B)	
120	BIOC2101  	0%	0/21	339/400	Principles of Biochem (Adv)	
121	COMP6771  	0%	0/17	339/389	Advanced C++ Programming	
122	ELEC4632  	0%	0/5	335/348	Computer Control Systems	
123	MDIA1002  	0%	0/65	335/520	Media & Communication Contexts	
124	MDIA3000  	0%	0/15	335/350	Discourse and Promotion	
125	PHYS1131  	0%	0/301	335/681	Higher Physics 1A	
126	MECH9720  	0%	0/18	334/355	Solar Thermal Energy Design	
127	CVEN4051  	0%	0/12	332/336	Thesis B - CR1/CR2	
128	COMP3231  	0%	0/40	330/370	Operating Systems	
129	MECH4620  	0%	0/34	330/449	Computational Fluid Dynamics	
130	FINS3626  	0%	0/28	323/351	Int'l Corporate Governance	
131	ARTS1811  	0%	0/128	322/9999	Issues in Gov and Global Pols	
132	COMP2121  	0%	0/57	321/378	Microprocessors & Interfacing	
133	MATH1241  	-1%	0/48	320/368	Higher Mathematics 1B	
134	LAWS1230  	0%	0/10	317/335	Lawyers, Ethics and Justice	
135	ARTS2091  	0%	0/9	316/325	Mobile Cultures	
136	ARTS1660  	0%	0/10	315/375	Introductory Korean A	
137	ARTS1360  	0%	0/55	314/380	Truth and Human Existence	
