Count	Course_code(2016_All_Term)	Enrol_precentage	Enrol_number	Lec/Web/Prj/Thesis	Course_name	
1	ECON1101  	0/0	0/0	3798/4008	Microeconomics 1 (U1C)	
2	ACCT1501  	0/0	0/0	2851/3057	Accounting & Financial Mgt 1A	
3	FINS1613  	0/0	0/0	2512/3041	Business Finance	
4	MGMT1001  	0/0	0/0	2415/2696	Managing Organisations&People (U1C)	
5	MATH1131  	0/0	0/0	2395/2494	Mathematics 1A	
6	MATH1231  	0/0	0/0	2097/2214	Mathematics 1B (U1)	
7	ECON1203  	0/0	0/0	1923/2135	Business & Economic Statistics (U1C)	
8	ENGG1000  	0/0	0/0	1917/1985	Engineering Design	
9	ECON1102  	0/0	0/0	1802/1992	Macroeconomics 1 (U1C)	
10	PHYS1121  	0/0	0/0	1626/1717	Physics 1A	
11	PHYS1160  	0/0	0/0	1584/1700	Introduction to Astronomy (U1)	
12	FINS1612  	0/0	0/0	1574/1795	Capital Markets & Institution (U1C)	
13	FINS2624  	0/0	0/0	1422/1597	Portfolio Mgmt	
14	ENGG1811  	0/0	0/0	1257/1663	Computing for Engineers	
15	TABL1710  	0/0	0/0	1228/1360	Business and the Law	
16	MATH2019  	0/0	0/0	1210/1244	Engineering Mathematics 2E	
17	ACCT1511  	0/0	0/0	1146/1300	Accounting & Financial Mgt 1B (U1C)	
18	FINS3616  	0/0	0/0	1108/1360	International Business Finance (U1C)	
19	COMP1917  	0/0	0/0	1071/1239	Computing 1	
20	MATH1041  	0/0	0/0	1060/1250	Stats for Life & Soc Sciences	
21	CHEM1011  	0/0	0/0	962/1035	Chemistry A	
22	ELEC1111  	0/0	0/0	954/1051	Elec & Telecomm Eng (U1)	
23	MGMT1101  	0/0	0/0	919/952	Global Business Environment	
24	GENC3004  	0/0	0/0	885/1000	Personal Finance (U1C)	
25	ECON5103  	0/0	0/0	845/905	Business Economics	
26	FINS3630  	0/0	0/0	836/921	Bank Financial Management (U1C)	
27	ACCT2542  	0/0	0/0	807/1110	Corporate Financial Reporting (U1C)	
28	ACCT5996  	0/0	0/0	796/920	Management Accounting and Busi	
29	ARTS1090  	0/0	0/0	789/920	Media, Culture & Everyday Life	
30	ACCT5930  	0/0	0/0	782/877	Financial Accounting	
31	ACCT2522  	0/0	0/0	757/900	Management Accounting 1	
32	FINS3625  	0/0	0/0	737/810	Applied Corporate Finance	
33	ECON1202  	0/0	0/0	721/898	Quantitative Analysis (U1C)	
34	MATH1081  	0/0	0/0	698/737	Discrete Mathematics	
35	FINS2643  	0/0	0/0	685/860	Wealth Management (U1C)	
36	ARTS1091  	0/0	0/0	681/715	Media, Society, Politics	
37	COMP1927  	0/0	0/0	662/753	Computing 2 (U1)	
38	GSOE9010  	0/0	0/0	661/685	Eng PG Coursework Res Skills	
39	ECON2101  	0/0	0/0	636/816	Microeconomics 2 (U1C)	
40	MGMT5050  	0/0	0/0	620/658	Teams, Ethics & Comp Adv	
41	TABL2741  	0/0	0/0	618/763	Business Entities (U1C)	
42	FINS5530  	0/0	0/0	618/856	Financial Institution Mgmt (U1C)	
43	PHYS1131  	0/0	0/0	608/694	Higher Physics 1A	
44	ACCT3708  	0/0	0/0	592/900	Auditing & Assurance Services	
45	ACCT3583  	0/0	0/0	572/648	Management Accounting 2	
46	CVEN2303  	0/0	0/0	560/572	Structural Analysis+ Modelling	
47	ACCT5931  	0/0	0/0	550/572	Strategic Management Accountin (U1C)	
48	FINS5516  	0/0	0/0	544/622	Int'l Corporate Finance (U1C)	
49	ACCT5908  	0/0	0/0	542/641	Auditing and Assurance Ser. (U1C)	
50	CVEN1300  	0/0	0/0	540/630	Engineering Mechanics for CE (U1)	
