         5600 function calls (5447 primitive calls) in 21.623 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /home/jerry/.local/lib/python3.8/site-packages/flask/helpers.py:78(get_load_dotenv)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:774(create_module)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1400(<genexpr>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/signal.py:25(_int_to_enum)
        9    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:1589(addHandler)
        1    0.000    0.000    0.000    0.000 /home/jerry/.local/lib/python3.8/site-packages/werkzeug/debug/tbtools.py:234(Traceback)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:901(release)
        9    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:168(__setitem__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:423(usesTime)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:1392(__init__)
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:76(__init__)
        1    0.000    0.000    0.000    0.000 /home/jerry/.local/lib/python3.8/site-packages/werkzeug/debug/console.py:25(HTMLStringO)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/click/_compat.py:37(is_ascii_encoding)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:156(<lambda>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/jinja2/environment.py:100(_environment_sanity_check)
        7    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_compile.py:453(_get_iscased)
       10    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_compile.py:65(_combine_flags)
        4    0.000    0.000    0.000    0.000 /home/jerry/.local/lib/python3.8/site-packages/werkzeug/utils.py:76(__init__)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:189(_checkLevel)
       12    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/socket.py:518(type)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/enum.py:619(__str__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/jinja2/utils.py:324(_postinit)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/signal.py:35(_enum_to_int)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_compile.py:432(_generate_overlap_table)
        2    0.000    0.000    0.000    0.000 /home/jerry/.local/lib/python3.8/site-packages/flask/app.py:742(templates_auto_reload)
        5    0.000    0.000    0.000    0.000 /home/jerry/.local/lib/python3.8/site-packages/flask/app.py:867(debug)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/_weakrefset.py:81(add)
        1    0.000    0.000    0.000    0.000 /home/jerry/.local/lib/python3.8/site-packages/werkzeug/_reloader.py:153(__init__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/threading.py:1306(current_thread)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/jinja2/ext.py:43(Extension)
        1    0.000    0.000    0.000    0.000 {built-in method _signal.signal}
        1    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:881(_find_spec_legacy)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:360(getMessage)
        1    0.000    0.000    0.000    0.000 {method 'setsockopt' of '_socket.socket' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:119(getLevelName)
        1    0.000    0.000    0.000    0.000 {built-in method posix.set_inheritable}
        3    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/posixpath.py:52(normcase)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/os.py:1073(__subclasshook__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:431(_format)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/subprocess.py:935(__del__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:295(_class_escape)
        5    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /home/jerry/.local/lib/python3.8/site-packages/flask/app.py:796(create_global_jinja_loader)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/subprocess.py:1938(kill)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:792(filter)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:1323(_fixupParents)
        1    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /home/jerry/.local/lib/python3.8/site-packages/werkzeug/serving.py:672(select_address_family)
        5    0.000    0.000    0.000    0.000 /home/jerry/.local/lib/python3.8/site-packages/werkzeug/debug/repr.py:115(_sequence_repr_maker)
        1    0.000    0.000    0.000    0.000 {built-in method posix.putenv}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/contextlib.py:385(__init__)
        4    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/subprocess.py:241(_cleanup)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/code.py:15(InteractiveInterpreter)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/jinja2/ext.py:72(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/jinja2/ext.py:406(ExprStmtExtension)
        2    0.000    0.000    0.000    0.000 {built-in method time.time}
        1    0.000    0.000    0.000    0.000 /home/jerry/.local/lib/python3.8/site-packages/werkzeug/local.py:56(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/types.py:171(__get__)
        1    0.000    0.000    0.000    0.000 /home/jerry/.local/lib/python3.8/site-packages/werkzeug/_reloader.py:145(ReloaderLoop)
        3    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/code.py:162(InteractiveConsole)
        4    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISLNK}
        1    0.000    0.000    0.000    0.000 /home/jerry/.local/lib/python3.8/site-packages/werkzeug/debug/console.py:67(ThreadedStream)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:772(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/jinja2/ext.py:418(LoopControlExtension)
        1    0.000    0.000    0.000    0.000 /home/jerry/.local/lib/python3.8/site-packages/werkzeug/debug/tbtools.py:206(Line)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/jinja2/_compat.py:90(metaclass)
        1    0.000    0.000    0.000    0.000 /home/jerry/.local/lib/python3.8/site-packages/flask/config.py:29(__get__)
        4    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/threading.py:1031(name)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/_collections_abc.py:72(_check_methods)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/weakref.py:395(__setitem__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/jinja2/ext.py:505(_CommentFinder)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/subprocess.py:907(__exit__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sysconfig.py:181(_get_default_scheme)
        1    0.000    0.000    0.000    0.000 /home/jerry/.local/lib/python3.8/site-packages/werkzeug/security.py:32(<genexpr>)
        3    0.000    0.000    0.000    0.000 {method 'fileno' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _codecs.lookup}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/codeop.py:132(Compile)
        1    0.000    0.000    0.000    0.000 /home/jerry/.local/lib/python3.8/site-packages/werkzeug/debug/tbtools.py:360(Group)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1088(__init__)
        2    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/jinja2/ext.py:34(ExtensionRegistry)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:1663(getEffectiveLevel)
        1    0.000    0.000    0.000    0.000 {built-in method sys.exc_info}
        1    0.000    0.000    0.000    0.000 /home/jerry/.local/lib/python3.8/site-packages/werkzeug/debug/console.py:149(_InteractiveConsole)
        1    0.000    0.000    0.000    0.000 /home/jerry/.local/lib/python3.8/site-packages/flask/app.py:979(<genexpr>)
        2    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/jinja2/utils.py:49(contextfunction)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/threading.py:81(RLock)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/getpass.py:26(GetPassWarning)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/codeop.py:147(CommandCompiler)
        2    0.000    0.000    0.000    0.000 /home/jerry/.local/lib/python3.8/site-packages/werkzeug/_internal.py:83(<genexpr>)
        1    0.000    0.000    0.000    0.000 /home/jerry/.local/lib/python3.8/site-packages/flask/templating.py:54(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/subprocess.py:1457(_get_handles)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/_collections_abc.py:698(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/six.py:184(find_module)
        1    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 /home/jerry/.local/lib/python3.8/site-packages/werkzeug/debug/repr.py:67(_Helper)
        1    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/jinja2/ext.py:429(WithExtension)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/random.py:729(seed)
        1    0.000    0.000    0.000    0.000 {built-in method posix.WIFSIGNALED}
        1    0.000    0.000    0.000    0.000 /home/jerry/.local/lib/python3.8/site-packages/werkzeug/debug/console.py:120(_ConsoleLoader)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/jinja2/ext.py:433(AutoEscapeExtension)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/click/_compat.py:650(<lambda>)
        1    0.000    0.000    0.000    0.000 /home/jerry/.local/lib/python3.8/site-packages/werkzeug/debug/console.py:202(Console)
        1    0.000    0.000    0.000    0.000 /home/jerry/.local/lib/python3.8/site-packages/werkzeug/_reloader.py:196(StatReloaderLoop)
        1    0.000    0.000    0.000    0.000 /home/jerry/.local/lib/python3.8/site-packages/werkzeug/_reloader.py:217(WatchdogReloaderLoop)
        1    0.000    0.000    0.000    0.000 /home/jerry/.local/lib/python3.8/site-packages/werkzeug/debug/__init__.py:127(_ConsoleFrame)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/subprocess.py:1724(_internal_poll)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/subprocess.py:1927(send_signal)
        1    0.000    0.000    0.000    0.000 {built-in method posix.WEXITSTATUS}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/enum.py:664(value)
        1    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 {built-in method sys.audit}
        1    0.000    0.000    0.000    0.000 /home/jerry/.local/lib/python3.8/site-packages/werkzeug/_reloader.py:154(<genexpr>)
        1    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {built-in method posix.WIFEXITED}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/subprocess.py:904(__enter__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/contextlib.py:479(__enter__)


