         5600 function calls (5447 primitive calls) in 21.623 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.002    0.001 /usr/lib/python3.8/logging/__init__.py:1553(_log)
       15    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
       16    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
        1    0.001    0.001    0.001    0.001 /home/jerry/.local/lib/python3.8/site-packages/werkzeug/_internal.py:75(_has_level_handler)
       11    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.001    0.001 /home/jerry/.local/lib/python3.8/site-packages/werkzeug/_reloader.py:1(<module>)
        2    0.000    0.000    0.001    0.001 /usr/lib/python3.8/logging/__init__.py:1579(handle)
        2    0.000    0.000    0.001    0.001 /usr/lib/python3.8/logging/__init__.py:1633(callHandlers)
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
        2    0.000    0.000    0.001    0.001 /usr/lib/python3.8/logging/__init__.py:937(handle)
        2    0.000    0.000    0.001    0.001 /usr/lib/python3.8/logging/__init__.py:1069(emit)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1099(create_module)
      128    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
        1    0.001    0.001    0.001    0.001 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.001    0.001 /usr/lib/python3/dist-packages/jinja2/ext.py:158(InternationalizationExtension)
        1    0.000    0.000    0.001    0.001 /home/jerry/.local/lib/python3.8/site-packages/werkzeug/debug/repr.py:2(<module>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.8/sysconfig.py:1(<module>)
       23    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:376(cached)
      162    0.000    0.000    0.001    0.000 {method 'join' of 'str' objects}
       12    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
       14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:147(__enter__)
      162    0.000    0.000    0.001    0.000 /usr/lib/python3.8/sre_parse.py:164(__getitem__)
       30    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
        1    0.000    0.000    0.001    0.001 /home/jerry/.local/lib/python3.8/site-packages/werkzeug/debug/__init__.py:247(__init__)
  357/326    0.001    0.000    0.001    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.8/os.py:707(copy)
       11    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
        1    0.000    0.000    0.001    0.001 /home/jerry/.local/lib/python3.8/site-packages/werkzeug/security.py:120(gen_salt)
      357    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
        5    0.000    0.000    0.001    0.000 /usr/lib/python3.8/sre_compile.py:536(_compile_info)
       21    0.000    0.000    0.001    0.000 /home/jerry/.local/lib/python3.8/site-packages/werkzeug/security.py:124(<genexpr>)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1252(_path_hooks)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1479(_fill_cache)
       14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sysconfig.py:100(_safe_realpath)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/posixpath.py:387(realpath)
        1    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
       20    0.000    0.000    0.000    0.000 /usr/lib/python3.8/random.py:285(choice)
      370    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       28    0.000    0.000    0.000    0.000 /usr/lib/python3.8/os.py:670(__getitem__)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
      282    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      2/1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/posixpath.py:396(_joinrealpath)
    33/12    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:174(getwidth)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.8/genericpath.py:27(isfile)
      100    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.000    0.000 /home/jerry/.local/lib/python3.8/site-packages/werkzeug/serving.py:694(get_sockaddr)
       20    0.000    0.000    0.000    0.000 /usr/lib/python3.8/random.py:250(_randbelow_with_getrandbits)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/socket.py:901(getaddrinfo)
        8    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x907780}
       66    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:254(get)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/jinja2/ext.py:37(__new__)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
      137    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sysconfig.py:138(is_python_build)
        5    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/click/_compat.py:667(func)
        1    0.000    0.000    0.000    0.000 {built-in method _socket.getaddrinfo}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sysconfig.py:121(_is_python_source_dir)
        1    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
       55    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
       10    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_compile.py:276(_optimize_charset)
      134    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:1538(makeRecord)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:284(__init__)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
       20    0.000    0.000    0.000    0.000 /usr/lib/python3.8/random.py:721(getrandbits)
       57    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:160(__len__)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
       30    0.000    0.000    0.000    0.000 /usr/lib/python3.8/os.py:748(encode)
        1    0.000    0.000    0.000    0.000 /home/jerry/.local/lib/python3.8/site-packages/werkzeug/security.py:2(<module>)
